timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred,benign_prob,attack_prob,prediction
2025-07-30T15:52:00.911346,22718,88425,16.0,9075050,4251,4688.0,9034188030.0,1007895,24.0,528170.0,48.0,4251,68,1638355,1725,106.0,17305,0.0015895963,0.9984104,1
2025-07-30T15:52:06.594802,24921,93240,20.0,4130802,3493,9275.0,17912784753.0,433693,45.0,1071981.0,98.0,3493,65,1660111,1593,137.0,25613,0.0060229897,0.993977,1
2025-07-30T15:52:12.511894,20258,101372,6.0,4384088,3812,4739.0,8694868743.0,1086786,24.0,490184.0,36.0,3812,73,640608,1673,92.0,18536,0.01211524,0.98788476,1
2025-07-30T15:52:17.646305,21451,90977,13.0,8655120,4788,4645.0,9048611856.0,1175191,23.0,531307.0,57.0,4788,68,637179,1706,86.0,15693,0.004200101,0.9957999,1
2025-07-30T15:52:24.009328,20161,86157,9.0,4073525,4454,4666.0,9330876320.0,430919,24.0,535724.0,41.0,4454,64,628735,1681,80.0,15445,0.0075971484,0.99240285,1
2025-07-30T15:52:29.923199,20748,86863,9.0,4170373,3768,4687.0,9245804297.0,1115696,24.0,539968.0,48.0,3768,65,635663,1635,75.0,22271,0.056447923,0.9435521,1
2025-07-30T15:52:36.311998,20560,103623,15.0,8785169,4287,4666.0,9327556518.0,1174283,25.0,542421.0,64.0,4287,64,630787,1762,24.0,16001,0.0032665133,0.9967335,1
2025-07-30T15:52:42.415985,20719,89307,22.0,4140766,3751,8174.0,17925168468.0,432427,44.0,1062909.0,83.0,3751,76,634578,1872,221.0,25209,0.004794121,0.9952059,1
2025-07-30T15:52:47.844128,20944,99140,12.0,9484995,3916,4637.0,9465457409.0,1237590,23.0,541323.0,51.0,3916,66,632331,1708,100.0,15588,0.003916383,0.9960836,1
2025-07-30T15:52:53.266284,22422,101033,13.0,4145432,3984,4656.0,8937381148.0,432964,22.0,537467.0,51.0,3984,65,634127,1670,24.0,15401,0.004405737,0.99559426,1
2025-07-30T15:52:58.736273,23083,96336,9.0,8379881,4014,4681.0,9031289238.0,1082469,24.0,531153.0,42.0,4014,67,1475464,1666,114.0,17698,0.0064091682,0.99359083,1
2025-07-30T15:53:03.867415,24463,86362,13.0,4030523,3844,4670.0,9504242932.0,1128154,23.0,545821.0,42.0,3844,62,1637601,1699,97.0,25399,0.0024263859,0.9975736,1
2025-07-30T15:53:09.547822,24592,98934,7.0,4038331,3885,4631.0,9051222633.0,1126071,24.0,538596.0,41.0,3885,69,1599479,1706,103.0,25856,0.0033278465,0.99667215,1
2025-07-30T15:53:15.255088,19427,90212,13.0,4094042,3250,4749.0,8464108734.0,490701,24.0,484802.0,52.0,3250,72,633205,1598,26.0,15540,0.01428467,0.9857153,1
2025-07-30T15:53:21.419987,22871,104462,19.0,4027803,4442,8542.0,18128314056.0,431840,46.0,1094619.0,83.0,4442,67,1595552,1715,209.0,16433,0.097543955,0.90245605,1
2025-07-30T15:53:27.803314,23516,101833,16.0,4036515,4012,6412.0,10025164772.0,1154309,25.0,582374.0,59.0,4012,69,1599642,1671,97.0,25047,0.009916723,0.9900833,1
2025-07-30T15:53:33.235011,23563,99886,8.0,4073326,3894,2552.0,8284492644.0,543866,21.0,467460.0,50.0,3894,64,1626716,1735,93.0,15542,0.0029616356,0.99703836,1
2025-07-30T15:53:39.306507,20727,97619,12.0,4210878,3860,4676.0,9537520834.0,433534,25.0,548426.0,47.0,3860,66,638049,1659,24.0,16626,0.13780951,0.8621905,1
2025-07-30T15:53:44.960946,21526,91686,15.0,8971138,4471,4632.0,8992885522.0,435036,23.0,536410.0,46.0,4471,68,636705,1648,102.0,15604,0.010362327,0.9896377,1
2025-07-30T15:53:50.429049,23865,89899,10.0,4166400,3785,4662.0,8899948235.0,1112778,24.0,531579.0,48.0,3785,77,1688332,1597,91.0,15821,0.0032185316,0.99678147,1
2025-07-30T15:53:56.844204,20546,100408,20.0,4058156,4263,9310.0,17931040317.0,431979,44.0,1065239.0,93.0,4263,70,638672,1791,141.0,16167,0.028494418,0.9715056,1
2025-07-30T15:54:01.961672,21450,93021,9.0,4085725,4178,4629.0,9003237444.0,1154780,22.0,538484.0,45.0,4178,63,636568,1665,113.0,26721,0.008718729,0.9912813,1
2025-07-30T15:54:07.497274,24741,88560,9.0,8663699,3738,3895.0,9029363465.0,1200374,23.0,543546.0,36.0,3738,66,1705571,1755,86.0,15559,0.0023964643,0.99760354,1
2025-07-30T15:54:13.910590,21142,90468,7.0,8815693,3708,4447.0,8596163380.0,1183061,24.0,494942.0,43.0,3708,72,643406,1813,108.0,15581,0.0013599396,0.99864006,1
2025-07-30T15:54:19.330682,20626,97050,10.0,4096010,3862,4669.0,9070859892.0,568306,24.0,531849.0,57.0,3862,70,635189,1718,88.0,15123,0.0064169765,0.993583,1
2025-07-30T15:54:24.784313,24014,99767,10.0,8762848,4035,4641.0,8992004273.0,433285,23.0,535967.0,41.0,4035,61,1636295,1597,92.0,15407,0.010524631,0.98947537,1
2025-07-30T15:54:30.252489,20455,88252,11.0,4101750,3718,4642.0,9125885583.0,1188224,24.0,534661.0,38.0,3718,65,630934,1550,28.0,24738,0.0015744567,0.99842554,1
2025-07-30T15:54:36.295575,22175,96074,25.0,8687331,3687,9298.0,18382394846.0,1205132,47.0,1093573.0,102.0,3687,68,1538753,1809,126.0,24678,0.0035289526,0.99647105,1
2025-07-30T15:54:42.001281,23546,104796,8.0,3999093,3952,4623.0,8987707243.0,545237,22.0,529280.0,46.0,3952,68,1576169,1823,24.0,15059,0.0036075711,0.9963924,1
2025-07-30T15:54:47.653927,22290,96896,12.0,4092369,3842,4618.0,10006157855.0,1136753,22.0,532820.0,39.0,3842,69,644189,1659,17.0,16300,0.04201585,0.95798415,1
2025-07-30T15:54:53.126000,24864,99675,12.0,4345762,4173,4815.0,9206774333.0,1140596,26.0,535899.0,52.0,4173,71,642182,1650,40.0,25117,0.05836135,0.94163865,1
2025-07-30T15:54:59.365737,25583,88485,10.0,4193562,4338,4493.0,9023945700.0,437446,22.0,535627.0,46.0,4338,66,1718751,1787,21.0,15862,0.017223597,0.9827764,1
2025-07-30T15:55:04.488537,20396,90376,11.0,4114684,4104,3753.0,9064203888.0,476937,25.0,539218.0,54.0,4104,69,629648,1672,102.0,23812,0.014062166,0.98593783,1
2025-07-30T15:55:11.308216,20848,104562,9.0,4012089,3888,4622.0,9193423982.0,1183685,22.0,546993.0,42.0,3888,66,633126,1537,57.0,25919,0.0024748445,0.99752516,1
2025-07-30T15:55:17.368927,22692,102120,21.0,4197841,4249,9329.0,18055350293.0,429031,46.0,1020513.0,87.0,4249,67,1435204,1633,41.0,16244,0.011878729,0.9881213,1
2025-07-30T15:55:23.397311,18946,94589,9.0,8815727,3794,4623.0,9197000955.0,1119436,22.0,536507.0,45.0,3794,67,636447,1658,24.0,15918,0.007818401,0.9921816,1
2025-07-30T15:55:29.079332,22005,89800,9.0,4095048,3893,4609.0,8972721793.0,1215804,23.0,533639.0,51.0,3893,66,636022,1709,25.0,24785,0.002003789,0.9979962,1
2025-07-30T15:55:34.798130,21550,96296,10.0,4135761,3867,4637.0,8954648101.0,433675,22.0,541128.0,39.0,3867,65,632304,1616,26.0,24399,0.0069241524,0.99307585,1
2025-07-30T15:55:40.481827,19634,89592,10.0,4112302,4341,4648.0,8960005840.0,431856,24.0,530262.0,45.0,4341,63,634860,1696,112.0,15686,0.012081444,0.98791856,1
