timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,syscalls_sys_exit_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred
2025-07-30T15:52:00.911346,24921,93240,60955289,4130802,3493,23630910,23630910,23546293705880,433693,139105,414436979,270684,3493,65,1660111,1593,460281,25613
2025-07-30T15:52:06.594802,20258,101372,60955295,4384088,3812,23635649,23635649,23554988574623,1086786,139129,414927163,270720,3812,73,640608,1673,460373,18536
2025-07-30T15:52:12.511894,21451,90977,60955308,8655120,4788,23640294,23640294,23564037186479,1175191,139152,415458470,270777,4788,68,637179,1706,460459,15693
2025-07-30T15:52:17.646305,20161,86157,60955317,4073525,4454,23644960,23644960,23573368062799,430919,139176,415994194,270818,4454,64,628735,1681,460539,15445
2025-07-30T15:52:24.009328,20748,86863,60955326,4170373,3768,23649647,23649647,23582613867096,1115696,139200,416534162,270866,3768,65,635663,1635,460614,22271
2025-07-30T15:52:29.923199,20560,103623,60955341,8785169,4287,23654313,23654313,23591941423614,1174283,139225,417076583,270930,4287,64,630787,1762,460638,16001
2025-07-30T15:52:36.311998,20719,89307,60955363,4140766,3751,23662487,23662487,23609866592082,432427,139269,418139492,271013,3751,76,634578,1872,460859,25209
2025-07-30T15:52:42.415985,20944,99140,60955375,9484995,3916,23667124,23667124,23619332049491,1237590,139292,418680815,271064,3916,66,632331,1708,460959,15588
2025-07-30T15:52:47.844128,22422,101033,60955388,4145432,3984,23671780,23671780,23628269430639,432964,139314,419218282,271115,3984,65,634127,1670,460983,15401
2025-07-30T15:52:53.266284,23083,96336,60955397,8379881,4014,23676461,23676461,23637300719877,1082469,139338,419749435,271157,4014,67,1475464,1666,461097,17698
2025-07-30T15:52:58.736273,24463,86362,60955410,4030523,3844,23681131,23681131,23646804962809,1128154,139361,420295256,271199,3844,62,1637601,1699,461194,25399
2025-07-30T15:53:03.867415,24592,98934,60955417,4038331,3885,23685762,23685762,23655856185442,1126071,139385,420833852,271240,3885,69,1599479,1706,461297,25856
2025-07-30T15:53:09.547822,19427,90212,60955430,4094042,3250,23690511,23690511,23664320294176,490701,139409,421318654,271292,3250,72,633205,1598,461323,15540
2025-07-30T15:53:15.255088,22871,104462,60955449,4027803,4442,23699053,23699053,23682448608232,431840,139455,422413273,271375,4442,67,1595552,1715,461532,16433
2025-07-30T15:53:21.419987,23516,101833,60955465,4036515,4012,23705465,23705465,23692473773004,1154309,139480,422995647,271434,4012,69,1599642,1671,461629,25047
2025-07-30T15:53:27.803314,23563,99886,60955473,4073326,3894,23708017,23708017,23700758265648,543866,139501,423463107,271484,3894,64,1626716,1735,461722,15542
2025-07-30T15:53:33.235011,20727,97619,60955485,4210878,3860,23712693,23712693,23710295786482,433534,139526,424011533,271531,3860,66,638049,1659,461746,16626
2025-07-30T15:53:39.306507,21526,91686,60955500,8971138,4471,23717325,23717325,23719288672004,435036,139549,424547943,271577,4471,68,636705,1648,461848,15604
2025-07-30T15:53:44.960946,23865,89899,60955510,4166400,3785,23721987,23721987,23728188620239,1112778,139573,425079522,271625,3785,77,1688332,1597,461939,15821
2025-07-30T15:53:50.429049,20546,100408,60955530,4058156,4263,23731297,23731297,23746119660556,431979,139617,426144761,271718,4263,70,638672,1791,462080,16167
2025-07-30T15:53:56.844204,21450,93021,60955539,4085725,4178,23735926,23735926,23755122898000,1154780,139639,426683245,271763,4178,63,636568,1665,462193,26721
2025-07-30T15:54:01.961672,24741,88560,60955548,8663699,3738,23739821,23739821,23764152261465,1200374,139662,427226791,271799,3738,66,1705571,1755,462279,15559
2025-07-30T15:54:07.497274,21142,90468,60955555,8815693,3708,23744268,23744268,23772748424845,1183061,139686,427721733,271842,3708,72,643406,1813,462387,15581
2025-07-30T15:54:13.910590,20626,97050,60955565,4096010,3862,23748937,23748937,23781819284737,568306,139710,428253582,271899,3862,70,635189,1718,462475,15123
2025-07-30T15:54:19.330682,24014,99767,60955575,8762848,4035,23753578,23753578,23790811289010,433285,139733,428789549,271940,4035,61,1636295,1597,462567,15407
2025-07-30T15:54:24.784313,20455,88252,60955586,4101750,3718,23758220,23758220,23799937174593,1188224,139757,429324210,271978,3718,65,630934,1550,462595,24738
2025-07-30T15:54:30.252489,22175,96074,60955611,8687331,3687,23767518,23767520,23818319569439,1205132,139804,430417783,272080,3687,68,1538753,1809,462721,24678
2025-07-30T15:54:36.295575,23546,104796,60955619,3999093,3952,23772141,23772141,23827307276682,545237,139826,430947063,272126,3952,68,1576169,1823,462745,15059
2025-07-30T15:54:42.001281,22290,96896,60955631,4092369,3842,23776759,23776759,23837313434537,1136753,139848,431479883,272165,3842,69,644189,1659,462762,16300
2025-07-30T15:54:47.653927,24864,99675,60955643,4345762,4173,23781574,23781574,23846520208870,1140596,139874,432015782,272217,4173,71,642182,1650,462802,25117
2025-07-30T15:54:53.126000,25583,88485,60955653,4193562,4338,23786067,23786067,23855544154570,437446,139896,432551409,272263,4338,66,1718751,1787,462823,15862
2025-07-30T15:54:59.365737,20396,90376,60955664,4114684,4104,23789820,23789820,23864608358458,476937,139921,433090627,272317,4104,69,629648,1672,462925,23812
2025-07-30T15:55:04.488537,20848,104562,60955673,4012089,3888,23794442,23794442,23873801782440,1183685,139943,433637620,272359,3888,66,633126,1537,462982,25919
2025-07-30T15:55:11.308216,22692,102120,60955694,4197841,4249,23803771,23803771,23891857132733,429031,139989,434658133,272446,4249,67,1435204,1633,463023,16244
2025-07-30T15:55:17.368927,18946,94589,60955703,8815727,3794,23808394,23808394,23901054133688,1119436,140011,435194640,272491,3794,67,636447,1658,463047,15918
2025-07-30T15:55:23.397311,22005,89800,60955712,4095048,3893,23813003,23813003,23910026855481,1215804,140034,435728279,272542,3893,66,636022,1709,463072,24785
2025-07-30T15:55:29.079332,21550,96296,60955722,4135761,3867,23817640,23817640,23918981503582,433675,140056,436269407,272581,3867,65,632304,1616,463098,24399
2025-07-30T15:55:34.798130,19634,89592,60955732,4112302,4341,23822288,23822288,23927941509422,431856,140080,436799669,272626,4341,63,634860,1696,463210,15686
